Time,mRNA_1,mRNA_2,mRNA_3,mRNA_4,mRNA_5,mRNA_6,mRNA_7,mRNA_8,mRNA_9,mRNA_10
15.757575757575758,2.0,1.0,4.0,6.0,1.0,2.0,4.0,5.0,0.0,3.0
16.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0
16.242424242424242,5.0,5.0,3.0,0.0,3.0,5.0,1.0,5.0,1.0,2.0
16.484848484848484,4.0,8.0,1.0,2.0,5.0,4.0,5.0,5.0,3.0,1.0
16.727272727272727,7.0,4.0,0.0,3.0,2.0,6.0,5.0,6.0,2.0,1.0
16.96969696969697,3.0,4.0,1.0,3.0,4.0,7.0,2.0,5.0,3.0,2.0
17.21212121212121,6.0,2.0,2.0,3.0,7.0,4.0,3.0,4.0,3.0,2.0
17.454545454545453,4.0,4.0,2.0,2.0,5.0,4.0,2.0,2.0,4.0,0.0
17.696969696969695,2.0,6.0,2.0,2.0,4.0,2.0,2.0,2.0,7.0,1.0
17.939393939393938,3.0,5.0,2.0,2.0,2.0,3.0,5.0,3.0,4.0,1.0
18.181818181818183,3.0,4.0,5.0,2.0,4.0,0.0,3.0,4.0,5.0,3.0
18.424242424242426,4.0,1.0,4.0,1.0,7.0,2.0,2.0,6.0,4.0,2.0
18.666666666666668,3.0,1.0,3.0,0.0,3.0,4.0,1.0,6.0,3.0,4.0
18.90909090909091,2.0,1.0,1.0,3.0,5.0,3.0,3.0,4.0,5.0,3.0
19.151515151515152,4.0,2.0,0.0,3.0,5.0,2.0,3.0,4.0,4.0,2.0
19.393939393939394,2.0,3.0,3.0,2.0,1.0,2.0,4.0,6.0,3.0,1.0
19.636363636363637,2.0,3.0,6.0,6.0,4.0,2.0,2.0,3.0,1.0,1.0
19.87878787878788,6.0,3.0,9.0,5.0,4.0,2.0,2.0,4.0,6.0,2.0
20.12121212121212,7.0,3.0,7.0,6.0,1.0,4.0,2.0,1.0,1.0,3.0
20.363636363636363,4.0,4.0,6.0,6.0,4.0,3.0,1.0,3.0,5.0,2.0
20.606060606060606,4.0,9.0,2.0,6.0,4.0,1.0,4.0,2.0,7.0,2.0
20.848484848484848,6.0,5.0,2.0,7.0,2.0,3.0,5.0,1.0,7.0,3.0
21.09090909090909,6.0,7.0,8.0,7.0,4.0,4.0,3.0,1.0,4.0,3.0
21.333333333333332,7.0,5.0,5.0,5.0,3.0,5.0,1.0,1.0,2.0,4.0
21.575757575757574,3.0,4.0,3.0,3.0,5.0,6.0,2.0,1.0,0.0,2.0
21.818181818181817,2.0,3.0,3.0,4.0,0.0,4.0,3.0,5.0,1.0,3.0
22.060606060606062,2.0,3.0,4.0,5.0,0.0,4.0,2.0,2.0,1.0,2.0
22.303030303030305,1.0,1.0,1.0,4.0,0.0,3.0,4.0,2.0,1.0,7.0
22.545454545454547,3.0,3.0,3.0,4.0,3.0,3.0,4.0,1.0,4.0,5.0
22.78787878787879,2.0,4.0,4.0,3.0,3.0,7.0,3.0,4.0,4.0,3.0
23.03030303030303,2.0,5.0,2.0,2.0,2.0,6.0,5.0,4.0,5.0,4.0
23.272727272727273,1.0,6.0,1.0,2.0,3.0,1.0,7.0,6.0,4.0,3.0
23.515151515151516,4.0,3.0,1.0,2.0,3.0,2.0,6.0,8.0,5.0,5.0
23.757575757575758,2.0,3.0,1.0,2.0,2.0,2.0,2.0,7.0,3.0,1.0
24.0,5.0,3.0,4.0,3.0,3.0,5.0,1.0,4.0,1.0,4.0
