time_min,time_hours,S_mean,A_mean,Ap_c_mean,Ap_n_mean,r_mean,R_mean,f_mean,F_mean,a_mean
406.8937875751503,6.781563126252505,0.0,341408.72023120994,2520.8739723297026,616.9,0.7,15636.3,19.8,43329.66618248516,16.0
409.7795591182365,6.829659318637274,0.0,343985.7667231667,2307.7,565.7,0.7,14952.6,18.6,42664.594289348446,16.0
412.6653306613226,6.877755511022044,0.0,346550.37686748547,2121.093853480238,513.0,0.6,14283.225891152973,17.9,41986.45095344007,16.0
415.55110220440883,6.925851703406813,0.0,349083.52073148766,1936.065645458315,475.8343545416851,0.6,13634.449255704569,17.6,41302.58744016923,16.2
418.436873747495,6.973947895791583,0.0,351642.3815995879,1774.7,435.1,0.6,13041.4,17.3,40601.60322526005,16.2
421.32264529058114,7.022044088176353,0.0,354156.2148852545,1622.5,405.7,0.5,12467.0,16.5,39914.485874211896,16.4
424.20841683366734,7.070140280561122,0.0,356643.33446290146,1490.2,370.7,0.5,11927.245329608095,16.1,39233.575761257016,16.2
427.0941883767535,7.118236472945892,0.0,359146.3432314124,1366.3,335.3,0.5,11390.589899851804,15.3,38551.19486641262,16.4
429.9799599198397,7.166332665330661,0.0,361607.7425534631,1253.0,307.9,0.5,10889.7,14.7,37874.74434310338,16.2
432.86573146292585,7.214428857715431,0.0,363971.8088790438,1148.3,281.8,0.3,10396.4,14.2,37208.47072055486,15.8
435.751503006012,7.2625250501002006,0.0,366318.9960736302,1057.1,256.1,0.2,9897.252211043236,13.8,36547.8887835327,15.7
438.6372745490982,7.31062124248497,0.0,368658.18303367926,966.3,234.9,0.2,9406.971612223166,13.1,35881.92227457276,15.8
441.52304609218436,7.35871743486974,0.0,370936.148887162,889.0,220.2,0.2,8946.583115440571,12.6,35229.81163401868,15.3
444.40881763527057,7.406813627254509,0.0,373151.90449044516,816.7,201.9,0.2,8504.2,12.5,34556.01134618827,15.7
447.2945891783567,7.454909819639279,0.0,375416.30937913136,755.1881756387829,182.0,0.2,8088.8,12.2,33924.35825793749,15.7
450.18036072144287,7.5030060120240485,0.0,377672.11547687254,686.3,171.0,0.2,7706.33648816453,11.8,33274.65842158381,15.6
453.0661322645291,7.551102204408818,0.0,379902.9247333656,628.1,159.7,0.2,7331.6,11.4,32646.507344735503,15.5
455.9519038076152,7.599198396793587,0.0,382131.28303715057,580.7,145.1,0.2,6987.5,10.8,32020.45863743165,15.6
458.8376753507014,7.647294589178356,0.0,384353.15330382844,533.39363585802,134.4,0.2,6646.487179921367,10.1,31392.163673602394,15.8
461.7234468937876,7.695390781563126,0.0,386663.00014079065,486.88847417271654,125.8,0.2,6327.4,10.1,30798.210897040604,16.3
464.60921843687373,7.7434869739478955,0.0,388970.9401398857,448.9,113.0,0.1,6022.8,9.8,30203.879721609603,16.2
467.49498997995994,7.791583166332665,0.0,391210.79060433083,412.0,102.2,0.1,5709.4,9.1,29609.96657809984,16.0
470.3807615230461,7.839679358717435,0.0,393462.48631948966,374.8,95.7,0.1,5419.340954650313,8.9,29035.436420907696,16.2
473.26653306613224,7.887775551102204,0.0,395720.2069491403,342.7,87.8,0.0,5122.7,8.3,28450.847008631314,15.8
476.15230460921845,7.935871743486974,0.0,397875.89818304416,316.2,80.8,0.0,4834.6,8.0,27875.347465130402,15.9
479.0380761523046,7.9839679358717435,0.0,400099.19606931356,290.9,72.8,0.0,4562.151457049736,7.4,27294.72189851018,15.8
481.9238476953908,8.032064128256513,0.0,402273.6048674335,268.8,66.7,0.0,4304.8,7.1,26723.505698042572,15.8
484.80961923847696,8.080160320641282,0.0,404418.8208041439,248.3,61.1,0.0,4061.5,6.5,26160.599621416495,15.7
487.6953907815631,8.128256513026052,0.0,406585.7321656472,230.0,56.1,0.0,3838.4,6.1,25578.46338460008,15.8
490.5811623246493,8.176352705410821,0.0,408699.29285027337,209.8,53.1,0.0,3621.4,5.7,25016.74557620937,15.3
493.46693386773546,8.224448897795591,0.0,410787.7101307883,189.9,47.5,0.0,3417.6,5.3,24464.094551522394,15.4
496.35270541082167,8.27254509018036,0.0,412883.15910450835,173.5,44.5,0.0,3228.668420928803,5.2,23924.863910467124,15.5
499.2384769539078,8.32064128256513,0.0,414959.9033324864,159.9,40.8,0.0,3043.7,5.2,23397.064957642382,15.2
502.12424849699397,8.3687374749499,0.0,416935.9925632083,146.2,35.5,0.0,2862.6,4.8,22884.561596045824,14.6
505.0100200400802,8.41683366733467,0.0,418900.0775897462,134.8,32.2,0.0,2698.6,4.7,22361.364619533084,14.8
507.89579158316633,8.464929859719438,0.0,420873.6524063751,119.8,30.3,0.0,2539.0,4.6,21855.554095936415,14.7
510.7815631262525,8.513026052104209,0.0,422749.8050742441,109.7,28.2,0.0,2405.3854381174133,4.3,21367.067327155877,14.4
513.6673346693386,8.561122244488978,0.0,424584.2665718522,99.9,27.5,0.0,2274.2,4.0,20860.779655961294,14.2
516.5531062124248,8.609218436873748,0.0,426351.1638791957,90.6,25.6,0.0,2143.3,3.7,20383.664228486723,14.0
519.438877755511,8.657314629258517,0.0,428122.82963066205,82.3,21.9,0.0,2021.6,3.5,19885.960791509708,13.8
522.3246492985973,8.705410821643287,0.0,429888.12311503745,74.91199039605513,19.788009603944868,0.0,1910.9,3.0,19409.295166588938,14.0
525.2104208416833,8.753507014028056,0.0,431720.3244908823,67.5,18.5,0.0,1801.9,2.8,18945.537063655684,14.3
528.0961923847696,8.801603206412826,0.0,433560.3365381021,61.9,17.0,0.0,1703.3,2.6,18488.83788390726,14.4
